lcl|CP094940.1_prot_UOM46722.1_2	2.7.7.7
lcl|CP094940.1_prot_UOM47767.1_1113	6.3.2.2
lcl|CP094940.1_prot_UOM47768.1_1114	4.4.1.21
lcl|CP094940.1_prot_UOM47770.1_1116	2.3.3.13
lcl|CP094940.1_prot_UOM47778.1_1124	3.6.3.32
lcl|CP094940.1_prot_UOM47779.1_1125	1.17.4.1
lcl|CP094940.1_prot_UOM47780.1_1126	1.17.4.1
lcl|CP094940.1_prot_UOM47806.1_1152	4.2.1.51
lcl|CP094940.1_prot_UOM47806.1_1152	4.2.1.91
lcl|CP094940.1_prot_UOM47809.1_1155	1.1.1.79
lcl|CP094940.1_prot_UOM47809.1_1155	1.1.1.81
lcl|CP094940.1_prot_UOM47811.1_1157	3.6.3.21
lcl|CP094940.1_prot_UOM47814.1_1161	3.5.3.11
lcl|CP094940.1_prot_UOM47814.1_1161	3.5.3.7
lcl|CP094940.1_prot_UOM47814.1_1161	3.5.3.8
lcl|CP094940.1_prot_UOM47827.1_1175	2.7.1.23
lcl|CP094940.1_prot_UOM47831.1_1179	3.6.5.4
lcl|CP094940.1_prot_UOM47833.1_1182	2.1.1.228
lcl|CP094940.1_prot_UOM47838.1_1187	2.7.7.65
lcl|CP094940.1_prot_UOM47840.1_1189	2.5.1.54
lcl|CP094940.1_prot_UOM47841.1_1190	1.3.1.12
lcl|CP094940.1_prot_UOM47841.1_1190	5.4.99.5
lcl|CP094940.1_prot_UOM47843.1_1192	4.2.1.51
lcl|CP094940.1_prot_UOM47843.1_1192	5.4.99.5
lcl|CP094940.1_prot_UOM47846.1_1196	5.4.99.23
lcl|CP094940.1_prot_UOM49119.1_1201	2.7.8.8
lcl|CP094940.1_prot_UOM47853.1_1204	1.8.1.8
lcl|CP094940.1_prot_UOM47855.1_1206	3.2.2.27
lcl|CP094940.1_prot_UOM47857.1_1208	3.6.4.13
lcl|CP094940.1_prot_UOM47858.1_1209	2.1.1.223
lcl|CP094940.1_prot_UOM47859.1_1210	1.4.3.16
lcl|CP094940.1_prot_UOM47865.1_1216	3.4.21.89
lcl|CP094940.1_prot_UOM47866.1_1217	3.1.26.3
lcl|CP094940.1_prot_UOM47869.1_1220	2.6.99.2
lcl|CP094940.1_prot_UOM49120.1_1221	2.7.8.7
lcl|CP094940.1_prot_UOM49121.1_1224	3.1.3.27
lcl|CP094940.1_prot_UOM47872.1_1225	3.5.4.33
lcl|CP094940.1_prot_UOM47874.1_1227	6.3.5.3
lcl|CP094940.1_prot_UOM49122.1_1228	2.7.13.3
lcl|CP094940.1_prot_UOM47878.1_1232	1.14.12.17
lcl|CP094940.1_prot_UOM47879.1_1233	2.1.2.1
lcl|CP094940.1_prot_UOM47884.1_1238	5.1.3.3
lcl|CP094940.1_prot_UOM47885.1_1239	1.5.1.2
lcl|CP094940.1_prot_UOM47890.1_1244	3.1.3.25
lcl|CP094940.1_prot_UOM47891.1_1245	2.1.1.200
lcl|CP094940.1_prot_UOM47893.1_1247	2.8.1.7
lcl|CP094940.1_prot_UOM47900.1_1254	3.4.11.23
lcl|CP094940.1_prot_UOM47903.1_1257	2.8.1.1
lcl|CP094940.1_prot_UOM47903.1_1257	2.8.1.2
lcl|CP094940.1_prot_UOM47904.1_1259	2.4.1.129
lcl|CP094940.1_prot_UOM47905.1_1260	2.7.4.6
lcl|CP094940.1_prot_UOM47906.1_1261	2.1.1.192
lcl|CP094940.1_prot_UOM47908.1_1263	1.17.7.1
lcl|CP094940.1_prot_UOM47908.1_1263	1.17.7.3
lcl|CP094940.1_prot_UOM47909.1_1264	6.1.1.21
lcl|CP094940.1_prot_UOM47934.1_1294	3.1.11.6
lcl|CP094940.1_prot_UOM47935.1_1295	1.1.1.205
lcl|CP094940.1_prot_UOM47936.1_1296	6.3.5.2
lcl|CP094940.1_prot_UOM47987.1_1350	3.1.6.6
lcl|CP094940.1_prot_UOM47993.1_1356	3.6.1.11
lcl|CP094940.1_prot_UOM47993.1_1356	3.6.1.40
lcl|CP094940.1_prot_UOM47994.1_1357	2.7.4.1
lcl|CP094940.1_prot_UOM47995.1_1358	2.1.2.2
lcl|CP094940.1_prot_UOM47996.1_1359	6.3.3.1
lcl|CP094940.1_prot_UOM47997.1_1360	2.7.1.2
lcl|CP094940.1_prot_UOM47997.1_1360	2.7.1.4
lcl|CP094940.1_prot_UOM47997.1_1360	2.7.1.85
lcl|CP094940.1_prot_UOM47998.1_1361	3.2.1.21
lcl|CP094940.1_prot_UOM47998.1_1361	3.2.1.86
lcl|CP094940.1_prot_UOM47999.1_1362	2.4.2.9
lcl|CP094940.1_prot_UOM48002.1_1366	1.20.4.1
lcl|CP094940.1_prot_UOM48006.1_1370	1.11.1.15
lcl|CP094940.1_prot_UOM48007.1_1372	4.3.3.7
lcl|CP094940.1_prot_UOM48009.1_1374	6.3.2.6
lcl|CP094940.1_prot_UOM48011.1_1376	2.3.1.193
lcl|CP094940.1_prot_UOM48014.1_1379	3.5.1.18
lcl|CP094940.1_prot_UOM48015.1_1380	1.20.4.1
lcl|CP094940.1_prot_UOM48017.1_1383	1.4.1.13
lcl|CP094940.1_prot_UOM48017.1_1383	1.4.1.14
lcl|CP094940.1_prot_UOM48018.1_1384	3.6.1.45
lcl|CP094940.1_prot_UOM48020.1_1386	2.2.1.1
lcl|CP094940.1_prot_UOM48021.1_1387	2.2.1.2
lcl|CP094940.1_prot_UOM48022.1_1388	1.1.1.38
lcl|CP094940.1_prot_UOM48022.1_1388	1.1.1.40
lcl|CP094940.1_prot_UOM48026.1_1392	2.5.1.17
lcl|CP094940.1_prot_UOM48027.1_1393	2.3.1.8
lcl|CP094940.1_prot_UOM48030.1_1396	1.2.1.87
lcl|CP094940.1_prot_UOM48035.1_1401	4.3.1.7
lcl|CP094940.1_prot_UOM48036.1_1402	4.3.1.7
lcl|CP094940.1_prot_UOM48040.1_1406	1.3.3.3
lcl|CP094940.1_prot_UOM48041.1_1407	3.5.1.28
lcl|CP094940.1_prot_UOM48049.1_1416	3.6.3.25
lcl|CP094940.1_prot_UOM48050.1_1417	2.5.1.47
lcl|CP094940.1_prot_UOM48053.1_1420	2.7.1.35
lcl|CP094940.1_prot_UOM48056.1_1423	2.7.3.9
lcl|CP094940.1_prot_UOM48058.1_1425	2.5.1.47
lcl|CP094940.1_prot_UOM48061.1_1428	6.5.1.2
lcl|CP094940.1_prot_UOM48065.1_1432	6.1.1.17
lcl|CP094940.1_prot_UOM48073.1_1440	4.1.1.1
lcl|CP094940.1_prot_UOM48073.1_1440	4.1.1.74
lcl|CP094940.1_prot_UOM48075.1_1442	2.7.1.2
lcl|CP094940.1_prot_UOM48077.1_1444	2.7.13.3
lcl|CP094940.1_prot_UOM48082.1_1450	3.5.4.12
lcl|CP094940.1_prot_UOM48082.1_1450	3.5.4.3
lcl|CP094940.1_prot_UOM48090.1_1458	2.3.1.16
lcl|CP094940.1_prot_UOM48091.1_1459	1.1.1.35
lcl|CP094940.1_prot_UOM48091.1_1459	4.2.1.17
lcl|CP094940.1_prot_UOM48091.1_1459	5.1.2.3
lcl|CP094940.1_prot_UOM48094.1_1462	2.1.1.298
lcl|CP094940.1_prot_UOM48095.1_1463	4.2.3.5
lcl|CP094940.1_prot_UOM48099.1_1468	2.1.1.61
lcl|CP094940.1_prot_UOM48100.1_1469	2.3.1.41
lcl|CP094940.1_prot_UOM48103.1_1472	1.1.1.290
lcl|CP094940.1_prot_UOM48104.1_1473	1.2.1.11
lcl|CP094940.1_prot_UOM48105.1_1474	5.4.99.12
lcl|CP094940.1_prot_UOM48107.1_1476	2.1.3.15
lcl|CP094940.1_prot_UOM48107.1_1476	6.4.1.2
lcl|CP094940.1_prot_UOM48108.1_1477	6.3.2.12
lcl|CP094940.1_prot_UOM48108.1_1477	6.3.2.17
lcl|CP094940.1_prot_UOM48111.1_1480	2.4.2.14
lcl|CP094940.1_prot_UOM48112.1_1481	2.5.1.129
lcl|CP094940.1_prot_UOM48117.1_1487	3.6.3.21
lcl|CP094940.1_prot_UOM48121.1_1491	5.1.99.7
lcl|CP094940.1_prot_UOM48123.1_1493	2.5.1.18
lcl|CP094940.1_prot_UOM48125.1_1495	5.3.3.2
lcl|CP094940.1_prot_UOM48126.1_1496	2.3.1.8
lcl|CP094940.1_prot_UOM48127.1_1497	2.7.2.1
lcl|CP094940.1_prot_UOM48127.1_1497	2.7.2.15
lcl|CP094940.1_prot_UOM48130.1_1500	3.1.3.23
lcl|CP094940.1_prot_UOM48132.1_1502	3.1.3.89
lcl|CP094940.1_prot_UOM48133.1_1503	2.6.1.2
lcl|CP094940.1_prot_UOM48133.1_1503	2.6.1.66
lcl|CP094940.1_prot_MUB43_07705_1505	1.6.5.3
lcl|CP094940.1_prot_UOM48135.1_1506	1.6.5.3
lcl|CP094940.1_prot_UOM48136.1_1507	1.6.5.3
lcl|CP094940.1_prot_UOM48137.1_1508	1.6.5.3
lcl|CP094940.1_prot_UOM48138.1_1509	1.6.5.3
lcl|CP094940.1_prot_UOM48139.1_1510	1.6.5.3
lcl|CP094940.1_prot_UOM48140.1_1511	1.6.5.3
lcl|CP094940.1_prot_UOM48141.1_1512	1.6.5.3
lcl|CP094940.1_prot_UOM48142.1_1513	1.6.5.3
lcl|CP094940.1_prot_UOM48143.1_1514	1.6.5.3
lcl|CP094940.1_prot_UOM48144.1_1515	1.6.5.3
lcl|CP094940.1_prot_UOM48145.1_1516	1.6.5.3
lcl|CP094940.1_prot_UOM48146.1_1517	1.6.5.3
lcl|CP094940.1_prot_UOM48147.1_1518	3.1.26.11
lcl|CP094940.1_prot_UOM48149.1_1520	5.4.4.2
lcl|CP094940.1_prot_UOM48150.1_1521	2.2.1.9
lcl|CP094940.1_prot_UOM48151.1_1522	4.2.99.20
lcl|CP094940.1_prot_UOM48152.1_1523	4.1.3.36
lcl|CP094940.1_prot_UOM48153.1_1524	4.2.1.113
lcl|CP094940.1_prot_UOM48154.1_1525	6.2.1.26
lcl|CP094940.1_prot_UOM48160.1_1531	4.2.1.90
lcl|CP094940.1_prot_UOM48161.1_1533	4.1.2.52
lcl|CP094940.1_prot_UOM48161.1_1533	4.1.2.53
lcl|CP094940.1_prot_UOM48162.1_1534	1.1.5.3
lcl|CP094940.1_prot_UOM48163.1_1535	1.1.5.3
lcl|CP094940.1_prot_UOM48164.1_1536	1.1.5.3
lcl|CP094940.1_prot_UOM48166.1_1538	3.1.4.46
lcl|CP094940.1_prot_UOM48168.1_1540	1.17.4.1
lcl|CP094940.1_prot_UOM48169.1_1541	1.17.4.1
lcl|CP094940.1_prot_UOM48170.1_1542	2.1.1.222
lcl|CP094940.1_prot_UOM48170.1_1542	2.1.1.64
lcl|CP094940.1_prot_UOM48171.1_1543	5.99.1.3
lcl|CP094940.1_prot_UOM48172.1_1544	2.7.13.3
lcl|CP094940.1_prot_UOM48174.1_1546	2.7.13.3
lcl|CP094940.1_prot_UOM48176.1_1548	2.7.1.180
lcl|CP094940.1_prot_UOM48177.1_1549	2.1.1.63
lcl|CP094940.1_prot_UOM48178.1_1550	1.14.11.33
lcl|CP094940.1_prot_UOM48181.1_1554	1.1.5.4
lcl|CP094940.1_prot_UOM48188.1_1561	3.6.1.13
lcl|CP094940.1_prot_UOM48193.1_1566	5.4.99.19
lcl|CP094940.1_prot_UOM48201.1_1574	3.4.17.13
lcl|CP094940.1_prot_UOM48202.1_1575	2.7.4.29
lcl|CP094940.1_prot_UOM48204.1_1577	1.1.1.57
lcl|CP094940.1_prot_UOM48205.1_1578	4.2.1.8
lcl|CP094940.1_prot_UOM48209.1_1583	2.7.1.202
lcl|CP094940.1_prot_UOM48210.1_1584	2.7.1.11
lcl|CP094940.1_prot_UOM48210.1_1584	2.7.1.56
lcl|CP094940.1_prot_UOM48211.1_1585	2.7.1.202
lcl|CP094940.1_prot_UOM48212.1_1586	3.1.21.2
lcl|CP094940.1_prot_UOM48216.1_1591	3.1.2.12
lcl|CP094940.1_prot_UOM48217.1_1592	3.5.4.16
lcl|CP094940.1_prot_UOM48221.1_1596	3.6.3.17
lcl|CP094940.1_prot_UOM48224.1_1599	3.5.4.5
lcl|CP094940.1_prot_UOM48230.1_1606	3.2.1.21
lcl|CP094940.1_prot_UOM48230.1_1606	3.2.1.86
lcl|CP094940.1_prot_UOM48235.1_1612	2.3.1.183
lcl|CP094940.1_prot_UOM48236.1_1613	1.1.5.12
lcl|CP094940.1_prot_UOM48237.1_1614	3.2.1.21
lcl|CP094940.1_prot_UOM48243.1_1620	2.7.13.3
lcl|CP094940.1_prot_UOM49138.1_1623	6.1.1.10
lcl|CP094940.1_prot_UOM48251.1_1629	3.5.4.2
lcl|CP094940.1_prot_UOM48254.1_1632	2.7.1.50
lcl|CP094940.1_prot_UOM48255.1_1633	2.7.1.49
lcl|CP094940.1_prot_UOM48255.1_1633	2.7.4.7
lcl|CP094940.1_prot_UOM48256.1_1634	4.1.2.13
lcl|CP094940.1_prot_UOM48258.1_1636	2.7.1.47
lcl|CP094940.1_prot_UOM48259.1_1637	1.1.1.56
lcl|CP094940.1_prot_UOM48262.1_1640	1.1.1.11
lcl|CP094940.1_prot_UOM48262.1_1640	1.1.1.57
lcl|CP094940.1_prot_MUB43_08390_1641	2.7.1.17
lcl|CP094940.1_prot_UOM48274.1_1653	2.7.13.3
lcl|CP094940.1_prot_UOM48282.1_1664	3.2.2.21
lcl|CP094940.1_prot_UOM48283.1_1665	2.7.1.19
lcl|CP094940.1_prot_UOM48283.1_1665	2.7.1.48
lcl|CP094940.1_prot_UOM48284.1_1666	3.5.4.13
lcl|CP094940.1_prot_MUB43_08530_1669	2.7.7.9
lcl|CP094940.1_prot_UOM48290.1_1674	3.1.3.48
lcl|CP094940.1_prot_UOM48300.1_1684	1.1.1.343
lcl|CP094940.1_prot_UOM48300.1_1684	1.1.1.44
lcl|CP094940.1_prot_UOM48301.1_1685	2.7.7.13
lcl|CP094940.1_prot_UOM48301.1_1685	5.3.1.8
lcl|CP094940.1_prot_UOM48302.1_1686	5.4.2.8
lcl|CP094940.1_prot_UOM48303.1_1687	1.1.1.22
lcl|CP094940.1_prot_UOM48305.1_1689	5.1.3.25
lcl|CP094940.1_prot_UOM48305.1_1689	5.1.3.6
lcl|CP094940.1_prot_UOM48309.1_1693	5.4.99.9
lcl|CP094940.1_prot_UOM48313.1_1697	3.5.4.19
lcl|CP094940.1_prot_UOM48313.1_1697	3.6.1.31
lcl|CP094940.1_prot_UOM48315.1_1699	5.3.1.16
lcl|CP094940.1_prot_UOM48317.1_1701	3.1.3.15
lcl|CP094940.1_prot_UOM48317.1_1701	4.2.1.19
lcl|CP094940.1_prot_UOM48318.1_1702	2.6.1.9
lcl|CP094940.1_prot_UOM48319.1_1703	1.1.1.23
lcl|CP094940.1_prot_UOM48320.1_1704	2.4.2.17
lcl|CP094940.1_prot_UOM48326.1_1712	3.1.11.1
lcl|CP094940.1_prot_UOM48327.1_1713	3.4.16.4
lcl|CP094940.1_prot_UOM48331.1_1717	2.7.8.26
lcl|CP094940.1_prot_UOM48332.1_1718	2.4.2.21
lcl|CP094940.1_prot_UOM48333.1_1719	3.3.1.1
lcl|CP094940.1_prot_UOM48344.1_1732	1.11.1.10
lcl|CP094940.1_prot_UOM48353.1_1743	3.2.2.4
lcl|CP094940.1_prot_UOM49149.1_1757	3.6.4.12
lcl|CP094940.1_prot_UOM48389.1_1786	2.7.7.58
lcl|CP094940.1_prot_UOM48389.1_1786	6.3.2.14
lcl|CP094940.1_prot_UOM48398.1_1795	4.2.99.21
lcl|CP094940.1_prot_UOM48398.1_1795	5.4.4.2
lcl|CP094940.1_prot_UOM48404.1_1801	2.1.1.37
lcl|CP094940.1_prot_UOM48407.1_1805	2.7.7.65
lcl|CP094940.1_prot_UOM48411.1_1810	3.2.1.1
lcl|CP094940.1_prot_UOM48413.1_1812	4.4.1.15
lcl|CP094940.1_prot_UOM48415.1_1814	3.6.3.21
lcl|CP094940.1_prot_UOM48420.1_1819	2.7.8.41
lcl|CP094940.1_prot_UOM48420.1_1819	2.7.8.5
lcl|CP094940.1_prot_UOM48421.1_1820	4.3.3.7
lcl|CP094940.1_prot_UOM48424.1_1824	1.16.3.2
lcl|CP094940.1_prot_UOM48425.1_1826	5.3.1.26
lcl|CP094940.1_prot_UOM48425.1_1826	5.3.1.6
lcl|CP094940.1_prot_UOM48431.1_1834	3.6.3.17
lcl|CP094940.1_prot_UOM48432.1_1836	3.1.3.12
lcl|CP094940.1_prot_UOM48433.1_1837	2.4.1.15
lcl|CP094940.1_prot_UOM48433.1_1837	2.4.1.347
lcl|CP094940.1_prot_UOM48436.1_1840	3.2.1.172
lcl|CP094940.1_prot_UOM48437.1_1841	6.1.1.19
lcl|CP094940.1_prot_UOM48445.1_1849	6.1.1.12
lcl|CP094940.1_prot_UOM48446.1_1850	3.6.1.67
lcl|CP094940.1_prot_UOM48448.1_1852	3.1.22.4
lcl|CP094940.1_prot_UOM48449.1_1853	3.6.4.12
lcl|CP094940.1_prot_UOM48450.1_1854	3.6.4.12
lcl|CP094940.1_prot_UOM48455.1_1859	2.3.1.243
lcl|CP094940.1_prot_UOM48456.1_1860	2.7.1.40
lcl|CP094940.1_prot_UOM48459.1_1863	1.1.1.363
lcl|CP094940.1_prot_UOM48459.1_1863	1.1.1.49
lcl|CP094940.1_prot_UOM48460.1_1864	4.2.1.12
lcl|CP094940.1_prot_UOM48461.1_1865	4.1.2.14
lcl|CP094940.1_prot_UOM48461.1_1865	4.1.3.42
lcl|CP094940.1_prot_UOM48462.1_1866	2.1.2.2
lcl|CP094940.1_prot_UOM48465.1_1869	3.4.21.83
lcl|CP094940.1_prot_UOM49157.1_1871	2.7.7.7
lcl|CP094940.1_prot_UOM48472.1_1877	3.1.3.16
lcl|CP094940.1_prot_UOM48475.1_1880	2.1.1.178
lcl|CP094940.1_prot_MUB43_09640_1883	1.8.4.14
lcl|CP094940.1_prot_UOM48479.1_1885	3.4.21.102
lcl|CP094940.1_prot_UOM48487.1_1894	3.4.16.4
lcl|CP094940.1_prot_UOM48488.1_1895	2.1.1.187
lcl|CP094940.1_prot_UOM48493.1_1900	2.7.1.191
lcl|CP094940.1_prot_UOM48495.1_1902	3.1.4.52
lcl|CP094940.1_prot_UOM48496.1_1903	4.3.1.17
lcl|CP094940.1_prot_UOM48498.1_1905	2.6.1.85
lcl|CP094940.1_prot_UOM48501.1_1908	3.6.4.12
lcl|CP094940.1_prot_UOM48504.1_1911	6.2.1.3
lcl|CP094940.1_prot_UOM49158.1_1912	3.1.13.5
lcl|CP094940.1_prot_UOM48516.1_1925	1.4.5.1
lcl|CP094940.1_prot_UOM48517.1_1926	5.1.1.1
lcl|CP094940.1_prot_UOM48519.1_1928	3.4.17.13
lcl|CP094940.1_prot_UOM48522.1_1931	3.2.1.28
lcl|CP094940.1_prot_UOM48530.1_1942	4.3.1.19
lcl|CP094940.1_prot_UOM48532.1_1944	2.7.2.1
lcl|CP094940.1_prot_UOM48532.1_1944	2.7.2.15
lcl|CP094940.1_prot_UOM49161.1_1945	2.3.1.54
lcl|CP094940.1_prot_UOM48539.1_1953	4.1.1.49
lcl|CP094940.1_prot_UOM48540.1_1954	2.3.1.57
lcl|CP094940.1_prot_UOM48543.1_1957	5.3.3.7
lcl|CP094940.1_prot_UOM49163.1_1960	5.4.99.28
lcl|CP094940.1_prot_UOM49163.1_1960	5.4.99.29
lcl|CP094940.1_prot_UOM48567.1_1988	3.1.1.29
lcl|CP094940.1_prot_UOM48571.1_1992	2.7.6.1
lcl|CP094940.1_prot_UOM49167.1_1993	2.7.1.148
lcl|CP094940.1_prot_UOM48573.1_1995	1.2.1.70
lcl|CP094940.1_prot_UOM49168.1_1997	2.1.1.297
lcl|CP094940.1_prot_UOM48577.1_2000	2.5.1.55
lcl|CP094940.1_prot_UOM48587.1_2010	1.7.1.15
lcl|CP094940.1_prot_UOM48591.1_2014	2.7.13.3
lcl|CP094940.1_prot_UOM48593.1_2017	1.7.5.1
lcl|CP094940.1_prot_UOM48594.1_2018	1.7.5.1
lcl|CP094940.1_prot_UOM48596.1_2020	1.7.5.1
lcl|CP094940.1_prot_UOM48599.1_2023	3.5.1.10
lcl|CP094940.1_prot_UOM48602.1_2026	3.1.3.3
lcl|CP094940.1_prot_UOM48603.1_2027	2.7.7.9
lcl|CP094940.1_prot_UOM48606.1_2030	2.7.1.21
lcl|CP094940.1_prot_UOM48607.1_2031	1.1.1.1
lcl|CP094940.1_prot_UOM48607.1_2031	1.2.1.10
lcl|CP094940.1_prot_UOM48625.1_2049	2.7.1.11
lcl|CP094940.1_prot_UOM48628.1_2052	6.1.1.3
lcl|CP094940.1_prot_UOM48631.1_2057	6.1.1.20
lcl|CP094940.1_prot_UOM48632.1_2058	6.1.1.20
lcl|CP094940.1_prot_UOM48635.1_2061	1.4.5.1
lcl|CP094940.1_prot_UOM48640.1_2066	1.11.1.9
lcl|CP094940.1_prot_UOM48641.1_2067	3.6.3.33
lcl|CP094940.1_prot_UOM48642.1_2068	3.4.17.13
lcl|CP094940.1_prot_UOM48645.1_2071	2.5.1.54
lcl|CP094940.1_prot_UOM48646.1_2072	2.7.11.33
lcl|CP094940.1_prot_UOM48646.1_2072	2.7.4.28
lcl|CP094940.1_prot_UOM48648.1_2074	2.7.9.2
lcl|CP094940.1_prot_UOM48650.1_2077	3.1.2.28
lcl|CP094940.1_prot_UOM48654.1_2081	2.1.1.14
lcl|CP094940.1_prot_UOM48655.1_2083	3.6.3.34
lcl|CP094940.1_prot_UOM48662.1_2091	1.1.2.3
lcl|CP094940.1_prot_UOM48668.1_2098	2.8.1.7
lcl|CP094940.1_prot_UOM48668.1_2098	4.4.1.16
lcl|CP094940.1_prot_UOM48672.1_2102	2.7.1.40
lcl|CP094940.1_prot_UOM48676.1_2107	1.13.11.27
lcl|CP094940.1_prot_UOM48678.1_2109	1.1.1.25
lcl|CP094940.1_prot_UOM48680.1_2111	3.6.3.34
lcl|CP094940.1_prot_UOM48684.1_2115	1.14.13.127
lcl|CP094940.1_prot_UOM48685.1_2116	1.13.11.16
lcl|CP094940.1_prot_UOM48685.1_2116	1.13.11.57
lcl|CP094940.1_prot_UOM48686.1_2117	3.7.1.14
lcl|CP094940.1_prot_UOM49176.1_2118	4.2.1.80
lcl|CP094940.1_prot_UOM48687.1_2119	1.2.1.10
lcl|CP094940.1_prot_UOM48688.1_2120	2.3.3.13
lcl|CP094940.1_prot_UOM48688.1_2120	4.1.3.39
lcl|CP094940.1_prot_MUB43_10885_2126	1.14.14.5
lcl|CP094940.1_prot_UOM48700.1_2133	3.6.3.34
lcl|CP094940.1_prot_UOM49178.1_2140	3.6.3.21
lcl|CP094940.1_prot_UOM48710.1_2147	1.17.1.9
lcl|CP094940.1_prot_UOM48710.1_2147	1.17.99.7
lcl|CP094940.1_prot_UOM48714.1_2151	3.6.3.30
lcl|CP094940.1_prot_UOM48716.1_2153	1.1.99.3
lcl|CP094940.1_prot_UOM48717.1_2154	1.1.99.3
lcl|CP094940.1_prot_UOM48719.1_2156	3.6.3.41
lcl|CP094940.1_prot_UOM48729.1_2168	2.7.13.3
lcl|CP094940.1_prot_UOM48734.1_2175	1.1.1.304
lcl|CP094940.1_prot_UOM48734.1_2175	1.1.1.76
lcl|CP094940.1_prot_UOM48735.1_2176	2.2.1.6
lcl|CP094940.1_prot_UOM48736.1_2177	4.1.1.5
lcl|CP094940.1_prot_UOM48738.1_2179	1.1.1.30
lcl|CP094940.1_prot_UOM48740.1_2181	1.1.1.157
lcl|CP094940.1_prot_UOM48741.1_2182	2.3.1.9
lcl|CP094940.1_prot_UOM48742.1_2183	2.8.3.5
lcl|CP094940.1_prot_UOM48743.1_2184	2.8.3.5
lcl|CP094940.1_prot_UOM48743.1_2184	2.8.3.6
lcl|CP094940.1_prot_UOM48751.1_2193	3.5.2.10
lcl|CP094940.1_prot_UOM48752.1_2194	3.5.99.10
lcl|CP094940.1_prot_UOM48753.1_2195	3.5.4.1
lcl|CP094940.1_prot_UOM48767.1_2209	3.6.3.24
lcl|CP094940.1_prot_UOM48772.1_2214	2.3.1.28
lcl|CP094940.1_prot_UOM48773.1_2215	4.4.1.5
lcl|CP094940.1_prot_UOM48776.1_2218	4.2.1.1
lcl|CP094940.1_prot_UOM48788.1_2230	3.2.2.10
lcl|CP094940.1_prot_UOM48791.1_2233	2.5.1.9
lcl|CP094940.1_prot_UOM48792.1_2234	2.1.1.79
lcl|CP094940.1_prot_UOM48798.1_2240	1.15.1.1
lcl|CP094940.1_prot_UOM48800.1_2242	3.2.1.14
lcl|CP094940.1_prot_UOM48803.1_2245	4.4.1.5
lcl|CP094940.1_prot_UOM48808.1_2250	1.15.1.1
lcl|CP094940.1_prot_UOM48815.1_2257	2.7.1.170
lcl|CP094940.1_prot_UOM49182.1_2259	1.4.3.5
lcl|CP094940.1_prot_UOM48817.1_2260	6.1.1.1
lcl|CP094940.1_prot_UOM48818.1_2261	2.7.1.35
lcl|CP094940.1_prot_UOM48819.1_2262	2.5.1.18
lcl|CP094940.1_prot_UOM48821.1_2264	4.2.99.18
lcl|CP094940.1_prot_UOM48829.1_2273	3.2.1.21
lcl|CP094940.1_prot_UOM48829.1_2273	3.2.1.86
lcl|CP094940.1_prot_UOM48831.1_2275	1.1.1.371
lcl|CP094940.1_prot_UOM48832.1_2276	3.5.4.4
lcl|CP094940.1_prot_UOM48838.1_2283	1.1.1.1
lcl|CP094940.1_prot_UOM48838.1_2283	1.1.1.284
lcl|CP094940.1_prot_UOM48839.1_2284	1.1.5.2
lcl|CP094940.1_prot_UOM48839.1_2284	1.1.5.8
lcl|CP094940.1_prot_UOM48841.1_2286	1.13.11.3
lcl|CP094940.1_prot_UOM48842.1_2287	1.13.11.3
lcl|CP094940.1_prot_UOM48845.1_2290	1.1.1.90
lcl|CP094940.1_prot_UOM48850.1_2295	2.1.1.265
lcl|CP094940.1_prot_UOM48861.1_2306	1.10.3.14
lcl|CP094940.1_prot_UOM48862.1_2307	1.10.3.14
lcl|CP094940.1_prot_UOM48865.1_2310	3.6.3.31
lcl|CP094940.1_prot_UOM48868.1_2313	1.2.1.19
lcl|CP094940.1_prot_UOM48875.1_2320	1.2.1.28
lcl|CP094940.1_prot_UOM48878.1_2325	2.3.1.183
lcl|CP094940.1_prot_UOM48881.1_2328	3.2.2.1
lcl|CP094940.1_prot_UOM48894.1_2343	3.6.3.21
lcl|CP094940.1_prot_UOM48896.1_2346	5.3.2.6
lcl|CP094940.1_prot_UOM48904.1_2354	3.6.3.30
lcl|CP094940.1_prot_UOM48907.1_2357	2.3.1.118
lcl|CP094940.1_prot_UOM48908.1_2359	1.7.5.1
lcl|CP094940.1_prot_UOM48910.1_2361	1.7.5.1
lcl|CP094940.1_prot_UOM48911.1_2362	1.7.5.1
lcl|CP094940.1_prot_UOM49187.1_2367	5.5.1.1
lcl|CP094940.1_prot_UOM48915.1_2368	5.3.3.4
lcl|CP094940.1_prot_UOM48916.1_2369	1.13.11.1
lcl|CP094940.1_prot_UOM48917.1_2370	1.14.12.10
lcl|CP094940.1_prot_UOM48918.1_2371	1.14.12.10
lcl|CP094940.1_prot_UOM48919.1_2372	1.14.13.25
lcl|CP094940.1_prot_UOM48919.1_2372	1.18.1.7
lcl|CP094940.1_prot_UOM48920.1_2373	1.3.1.25
lcl|CP094940.1_prot_UOM48922.1_2375	1.17.1.9
lcl|CP094940.1_prot_UOM48922.1_2375	1.17.5.3
lcl|CP094940.1_prot_UOM48924.1_2380	2.7.4.1
lcl|CP094940.1_prot_UOM48933.1_2389	1.1.1.1
lcl|CP094940.1_prot_UOM48934.1_2390	3.6.1.1
lcl|CP094940.1_prot_UOM48937.1_2396	1.1.1.38
lcl|CP094940.1_prot_UOM48937.1_2396	1.1.1.40
