lcl|CP094940.1_prot_UOM46721.1_1	K02313
lcl|CP094940.1_prot_UOM47854.1_1205	K03214
lcl|CP094940.1_prot_UOM47855.1_1206	K03648
lcl|CP094940.1_prot_UOM47856.1_1207	K06866
lcl|CP094940.1_prot_UOM47857.1_1208	K05590
lcl|CP094940.1_prot_UOM47858.1_1209	K15460
lcl|CP094940.1_prot_UOM47859.1_1210	K00278
lcl|CP094940.1_prot_UOM47860.1_1211	K03088
lcl|CP094940.1_prot_UOM47861.1_1212	K03597
lcl|CP094940.1_prot_UOM47862.1_1213	K03598
lcl|CP094940.1_prot_UOM47863.1_1214	K03803
lcl|CP094940.1_prot_UOM47864.1_1215	K03596
lcl|CP094940.1_prot_UOM47865.1_1216	K03100
lcl|CP094940.1_prot_UOM47866.1_1217	K03685
lcl|CP094940.1_prot_UOM47867.1_1218	K03595
lcl|CP094940.1_prot_UOM47868.1_1219	K03584
lcl|CP094940.1_prot_UOM47869.1_1220	K03474
lcl|CP094940.1_prot_UOM49120.1_1221	K00997
lcl|CP094940.1_prot_UOM49121.1_1224	K18697
lcl|CP094940.1_prot_UOM47872.1_1225	K11991
lcl|CP094940.1_prot_UOM47873.1_1226	K18691
lcl|CP094940.1_prot_UOM47874.1_1227	K01952
lcl|CP094940.1_prot_UOM49122.1_1228	K07711
lcl|CP094940.1_prot_UOM47876.1_1230	K07715
lcl|CP094940.1_prot_UOM47877.1_1231	K04751
lcl|CP094940.1_prot_UOM47878.1_1232	K05916
lcl|CP094940.1_prot_UOM47879.1_1233	K00600
lcl|CP094940.1_prot_UOM47880.1_1234	K15977
lcl|CP094940.1_prot_UOM47883.1_1237	K02100
lcl|CP094940.1_prot_UOM47883.1_1237	K03444
lcl|CP094940.1_prot_UOM47883.1_1237	K05548
lcl|CP094940.1_prot_UOM47883.1_1237	K06609
lcl|CP094940.1_prot_UOM47883.1_1237	K08137
lcl|CP094940.1_prot_UOM47884.1_1238	K01785
lcl|CP094940.1_prot_UOM47885.1_1239	K00286
lcl|CP094940.1_prot_UOM47885.1_1239	K05820
lcl|CP094940.1_prot_UOM47887.1_1241	K06925
lcl|CP094940.1_prot_UOM47888.1_1242	K08970
lcl|CP094940.1_prot_UOM47890.1_1244	K01092
lcl|CP094940.1_prot_UOM47891.1_1245	K02533
lcl|CP094940.1_prot_UOM47891.1_1245	K15396
lcl|CP094940.1_prot_UOM47892.1_1246	K13643
lcl|CP094940.1_prot_UOM47893.1_1247	K04487
lcl|CP094940.1_prot_UOM47894.1_1248	K04488
lcl|CP094940.1_prot_UOM47895.1_1249	K05997
lcl|CP094940.1_prot_UOM47895.1_1249	K13628
lcl|CP094940.1_prot_UOM47896.1_1250	K04082
lcl|CP094940.1_prot_UOM47897.1_1251	K04044
lcl|CP094940.1_prot_UOM47898.1_1252	K04755
lcl|CP094940.1_prot_UOM47900.1_1254	K07751
lcl|CP094940.1_prot_UOM47903.1_1257	K01011
lcl|CP094940.1_prot_MUB43_06430_1258	K06894
lcl|CP094940.1_prot_UOM47904.1_1259	K05367
lcl|CP094940.1_prot_UOM47905.1_1260	K00940
lcl|CP094940.1_prot_UOM47906.1_1261	K06941
lcl|CP094940.1_prot_UOM47907.1_1262	K15539
lcl|CP094940.1_prot_UOM47908.1_1263	K03526
lcl|CP094940.1_prot_UOM47909.1_1264	K01892
lcl|CP094940.1_prot_UOM47911.1_1266	K17713
lcl|CP094940.1_prot_UOM47912.1_1267	K03977
lcl|CP094940.1_prot_UOM47923.1_1280	K06919
lcl|CP094940.1_prot_UOM49124.1_1281	K03111
lcl|CP094940.1_prot_UOM47934.1_1294	K03601
lcl|CP094940.1_prot_UOM47935.1_1295	K00088
lcl|CP094940.1_prot_UOM47936.1_1296	K01951
lcl|CP094940.1_prot_UOM49128.1_1322	K03503
lcl|CP094940.1_prot_UOM47987.1_1350	K01133
lcl|CP094940.1_prot_UOM47988.1_1351	K06871
lcl|CP094940.1_prot_UOM47993.1_1356	K01524
lcl|CP094940.1_prot_UOM47994.1_1357	K00937
lcl|CP094940.1_prot_UOM47995.1_1358	K11175
lcl|CP094940.1_prot_UOM47996.1_1359	K01933
lcl|CP094940.1_prot_UOM47997.1_1360	K00845
lcl|CP094940.1_prot_UOM47997.1_1360	K00847
lcl|CP094940.1_prot_UOM47997.1_1360	K18673
lcl|CP094940.1_prot_UOM47998.1_1361	K01223
lcl|CP094940.1_prot_UOM47998.1_1361	K05350
lcl|CP094940.1_prot_UOM47999.1_1362	K00761
lcl|CP094940.1_prot_UOM48000.1_1363	K02824
lcl|CP094940.1_prot_UOM48000.1_1363	K09016
lcl|CP094940.1_prot_UOM49129.1_1364	K10763
lcl|CP094940.1_prot_UOM48002.1_1366	K00537
lcl|CP094940.1_prot_UOM48005.1_1369	K03548
lcl|CP094940.1_prot_UOM48006.1_1370	K03564
lcl|CP094940.1_prot_UOM49130.1_1371	K03567
lcl|CP094940.1_prot_UOM48007.1_1372	K01714
lcl|CP094940.1_prot_UOM48008.1_1373	K07287
lcl|CP094940.1_prot_UOM48009.1_1374	K01923
lcl|CP094940.1_prot_UOM48010.1_1375	K07054
lcl|CP094940.1_prot_UOM48011.1_1376	K06957
lcl|CP094940.1_prot_UOM48012.1_1377	K06999
lcl|CP094940.1_prot_UOM48014.1_1379	K01439
lcl|CP094940.1_prot_UOM48015.1_1380	K00537
lcl|CP094940.1_prot_UOM48016.1_1382	K18324
lcl|CP094940.1_prot_UOM48017.1_1383	K00266
lcl|CP094940.1_prot_UOM48018.1_1384	K08077
lcl|CP094940.1_prot_UOM48018.1_1384	K12945
lcl|CP094940.1_prot_UOM48020.1_1386	K00615
lcl|CP094940.1_prot_UOM48021.1_1387	K00616
lcl|CP094940.1_prot_UOM48022.1_1388	K00027
lcl|CP094940.1_prot_UOM48022.1_1388	K00029
lcl|CP094940.1_prot_UOM48023.1_1389	K04031
lcl|CP094940.1_prot_UOM48024.1_1390	K04029
lcl|CP094940.1_prot_UOM48025.1_1391	K04030
lcl|CP094940.1_prot_UOM48026.1_1392	K04032
lcl|CP094940.1_prot_UOM48027.1_1393	K00625
lcl|CP094940.1_prot_UOM48027.1_1393	K04020
lcl|CP094940.1_prot_UOM48027.1_1393	K13788
lcl|CP094940.1_prot_UOM48028.1_1394	K04027
lcl|CP094940.1_prot_UOM48029.1_1395	K04028
lcl|CP094940.1_prot_UOM48030.1_1396	K04021
lcl|CP094940.1_prot_UOM48030.1_1396	K13922
lcl|CP094940.1_prot_UOM48031.1_1397	K04024
lcl|CP094940.1_prot_UOM48032.1_1398	K04022
lcl|CP094940.1_prot_UOM48033.1_1399	K04023
lcl|CP094940.1_prot_UOM48034.1_1400	K04019
lcl|CP094940.1_prot_UOM48035.1_1401	K03735
lcl|CP094940.1_prot_UOM48036.1_1402	K03736
lcl|CP094940.1_prot_UOM48037.1_1403	K04026
lcl|CP094940.1_prot_UOM48038.1_1404	K04025
lcl|CP094940.1_prot_UOM48039.1_1405	K04033
lcl|CP094940.1_prot_UOM48040.1_1406	K00228
lcl|CP094940.1_prot_UOM48041.1_1407	K01448
lcl|CP094940.1_prot_UOM48045.1_1411	K07223
lcl|CP094940.1_prot_UOM48046.1_1413	K02048
lcl|CP094940.1_prot_UOM48047.1_1414	K02046
lcl|CP094940.1_prot_UOM48048.1_1415	K02047
lcl|CP094940.1_prot_UOM48049.1_1416	K02045
lcl|CP094940.1_prot_UOM48050.1_1417	K12339
lcl|CP094940.1_prot_UOM48053.1_1420	K00868
lcl|CP094940.1_prot_UOM48055.1_1422	K02777
lcl|CP094940.1_prot_UOM48056.1_1423	K08483
lcl|CP094940.1_prot_UOM48057.1_1424	K02784
lcl|CP094940.1_prot_UOM48058.1_1425	K01738
lcl|CP094940.1_prot_UOM48059.1_1426	K06203
lcl|CP094940.1_prot_UOM48060.1_1427	K03528
lcl|CP094940.1_prot_UOM48061.1_1428	K01972
lcl|CP094940.1_prot_UOM48062.1_1429	K09954
lcl|CP094940.1_prot_UOM48063.1_1430	K14347
lcl|CP094940.1_prot_UOM48064.1_1431	K17737
lcl|CP094940.1_prot_UOM48065.1_1432	K01885
lcl|CP094940.1_prot_UOM48069.1_1436	K03317
lcl|CP094940.1_prot_UOM48069.1_1436	K11535
lcl|CP094940.1_prot_UOM48070.1_1437	K03322
lcl|CP094940.1_prot_UOM48072.1_1439	K19265
lcl|CP094940.1_prot_UOM48073.1_1440	K01568
lcl|CP094940.1_prot_UOM48073.1_1440	K04103
lcl|CP094940.1_prot_UOM48075.1_1442	K00845
lcl|CP094940.1_prot_UOM48076.1_1443	K02477
lcl|CP094940.1_prot_UOM48076.1_1443	K07705
lcl|CP094940.1_prot_UOM48077.1_1444	K02478
lcl|CP094940.1_prot_UOM48080.1_1447	K14261
lcl|CP094940.1_prot_UOM48081.1_1449	K03449
lcl|CP094940.1_prot_UOM48082.1_1450	K01487
lcl|CP094940.1_prot_UOM48082.1_1450	K01493
lcl|CP094940.1_prot_UOM48083.1_1451	K11921
lcl|CP094940.1_prot_UOM48083.1_1451	K21757
lcl|CP094940.1_prot_UOM48086.1_1454	K21990
lcl|CP094940.1_prot_UOM48087.1_1455	K04754
lcl|CP094940.1_prot_UOM48088.1_1456	K06076
lcl|CP094940.1_prot_UOM48090.1_1458	K00632
lcl|CP094940.1_prot_UOM48091.1_1459	K01782
lcl|CP094940.1_prot_UOM48092.1_1460	K08296
lcl|CP094940.1_prot_UOM48094.1_1462	K07320
lcl|CP094940.1_prot_UOM48095.1_1463	K01736
lcl|CP094940.1_prot_UOM48096.1_1464	K07261
lcl|CP094940.1_prot_UOM48097.1_1465	K07090
lcl|CP094940.1_prot_UOM48097.1_1465	K11312
lcl|CP094940.1_prot_UOM48098.1_1466	K09906
lcl|CP094940.1_prot_UOM48099.1_1468	K15461
lcl|CP094940.1_prot_UOM48100.1_1469	K00647
lcl|CP094940.1_prot_UOM48103.1_1472	K03473
lcl|CP094940.1_prot_UOM48104.1_1473	K00133
lcl|CP094940.1_prot_UOM48105.1_1474	K06173
lcl|CP094940.1_prot_UOM48106.1_1475	K03975
lcl|CP094940.1_prot_UOM48107.1_1476	K01963
lcl|CP094940.1_prot_UOM48108.1_1477	K11754
lcl|CP094940.1_prot_UOM48109.1_1478	K03749
lcl|CP094940.1_prot_UOM48110.1_1479	K03558
lcl|CP094940.1_prot_UOM48111.1_1480	K00764
lcl|CP094940.1_prot_UOM48112.1_1481	K03186
lcl|CP094940.1_prot_UOM48114.1_1483	K09996
lcl|CP094940.1_prot_UOM48114.1_1483	K10013
lcl|CP094940.1_prot_UOM48114.1_1483	K10014
lcl|CP094940.1_prot_UOM48115.1_1484	K09996
lcl|CP094940.1_prot_UOM48115.1_1484	K10013
lcl|CP094940.1_prot_UOM48115.1_1484	K10014
lcl|CP094940.1_prot_UOM49134.1_1485	K10016
lcl|CP094940.1_prot_UOM49134.1_1485	K10024
lcl|CP094940.1_prot_UOM48116.1_1486	K10015
lcl|CP094940.1_prot_UOM48117.1_1487	K10017
lcl|CP094940.1_prot_UOM48120.1_1490	K07071
lcl|CP094940.1_prot_UOM48121.1_1491	K07589
lcl|CP094940.1_prot_UOM48122.1_1492	K11209
lcl|CP094940.1_prot_UOM48123.1_1493	K00799
lcl|CP094940.1_prot_UOM48124.1_1494	K07095
lcl|CP094940.1_prot_UOM48125.1_1495	K01823
lcl|CP094940.1_prot_UOM48126.1_1496	K13788
lcl|CP094940.1_prot_UOM48127.1_1497	K00925
lcl|CP094940.1_prot_UOM48127.1_1497	K00932
lcl|CP094940.1_prot_UOM48128.1_1498	K09899
lcl|CP094940.1_prot_UOM48129.1_1499	K09161
lcl|CP094940.1_prot_UOM48130.1_1500	K19270
lcl|CP094940.1_prot_UOM48132.1_1502	K08722
lcl|CP094940.1_prot_UOM48133.1_1503	K14260
lcl|CP094940.1_prot_MUB43_07705_1505	K00330
lcl|CP094940.1_prot_UOM48135.1_1506	K00331
lcl|CP094940.1_prot_UOM48136.1_1507	K13378
lcl|CP094940.1_prot_UOM48137.1_1508	K00334
lcl|CP094940.1_prot_UOM48138.1_1509	K00335
lcl|CP094940.1_prot_UOM48139.1_1510	K00336
lcl|CP094940.1_prot_UOM48140.1_1511	K00337
lcl|CP094940.1_prot_UOM48141.1_1512	K00338
lcl|CP094940.1_prot_UOM48142.1_1513	K00339
lcl|CP094940.1_prot_UOM48143.1_1514	K00340
lcl|CP094940.1_prot_UOM48144.1_1515	K00341
lcl|CP094940.1_prot_UOM48145.1_1516	K00342
lcl|CP094940.1_prot_UOM48146.1_1517	K00343
lcl|CP094940.1_prot_UOM48147.1_1518	K00784
lcl|CP094940.1_prot_UOM48148.1_1519	K02348
lcl|CP094940.1_prot_UOM48149.1_1520	K01851
lcl|CP094940.1_prot_UOM48149.1_1520	K02361
lcl|CP094940.1_prot_UOM48149.1_1520	K02552
lcl|CP094940.1_prot_UOM48150.1_1521	K02551
lcl|CP094940.1_prot_UOM48151.1_1522	K08680
lcl|CP094940.1_prot_UOM48152.1_1523	K01661
lcl|CP094940.1_prot_UOM48153.1_1524	K02549
lcl|CP094940.1_prot_UOM48154.1_1525	K00666
lcl|CP094940.1_prot_UOM48154.1_1525	K01911
lcl|CP094940.1_prot_UOM48155.1_1526	K12944
lcl|CP094940.1_prot_UOM48160.1_1531	K12661
lcl|CP094940.1_prot_UOM48161.1_1533	K02510
lcl|CP094940.1_prot_UOM48161.1_1533	K12660
lcl|CP094940.1_prot_UOM48162.1_1534	K00113
lcl|CP094940.1_prot_UOM48162.1_1534	K11473
lcl|CP094940.1_prot_UOM48163.1_1535	K00112
lcl|CP094940.1_prot_UOM48164.1_1536	K00111
lcl|CP094940.1_prot_UOM48165.1_1537	K02445
lcl|CP094940.1_prot_UOM48166.1_1538	K01126
lcl|CP094940.1_prot_UOM48167.1_1539	K11107
lcl|CP094940.1_prot_UOM48168.1_1540	K00526
lcl|CP094940.1_prot_UOM48169.1_1541	K00525
lcl|CP094940.1_prot_UOM48170.1_1542	K00568
lcl|CP094940.1_prot_UOM48171.1_1543	K02469
lcl|CP094940.1_prot_UOM48172.1_1544	K07677
lcl|CP094940.1_prot_UOM48173.1_1545	K07687
lcl|CP094940.1_prot_UOM48174.1_1546	K07676
lcl|CP094940.1_prot_UOM48174.1_1546	K07687
lcl|CP094940.1_prot_UOM48175.1_1547	K09475
lcl|CP094940.1_prot_UOM48175.1_1547	K09476
lcl|CP094940.1_prot_UOM48175.1_1547	K11929
lcl|CP094940.1_prot_UOM48175.1_1547	K14062
lcl|CP094940.1_prot_UOM48176.1_1548	K03734
lcl|CP094940.1_prot_UOM48177.1_1549	K00567
lcl|CP094940.1_prot_UOM48177.1_1549	K10778
lcl|CP094940.1_prot_UOM48178.1_1550	K03919
lcl|CP094940.1_prot_UOM48179.1_1551	K06159
lcl|CP094940.1_prot_UOM48179.1_1551	K06160
lcl|CP094940.1_prot_UOM48180.1_1552	K06213
lcl|CP094940.1_prot_UOM49136.1_1553	K03321
lcl|CP094940.1_prot_UOM48181.1_1554	K00116
lcl|CP094940.1_prot_UOM48182.1_1555	K08276
lcl|CP094940.1_prot_UOM48184.1_1557	K07014
lcl|CP094940.1_prot_UOM48185.1_1558	K09904
lcl|CP094940.1_prot_UOM48186.1_1559	K06899
lcl|CP094940.1_prot_UOM48188.1_1561	K01515
lcl|CP094940.1_prot_UOM48191.1_1564	K02897
lcl|CP094940.1_prot_UOM48192.1_1565	K19789
lcl|CP094940.1_prot_UOM48193.1_1566	K06183
lcl|CP094940.1_prot_UOM48194.1_1567	K07552
lcl|CP094940.1_prot_UOM48196.1_1569	K02031
lcl|CP094940.1_prot_UOM48196.1_1569	K02032
lcl|CP094940.1_prot_UOM48196.1_1569	K13892
lcl|CP094940.1_prot_UOM48196.1_1569	K13896
lcl|CP094940.1_prot_UOM48196.1_1569	K19229
lcl|CP094940.1_prot_UOM48196.1_1569	K19230
lcl|CP094940.1_prot_UOM48197.1_1570	K13895
lcl|CP094940.1_prot_UOM48198.1_1571	K13894
lcl|CP094940.1_prot_UOM48199.1_1572	K02035
lcl|CP094940.1_prot_UOM48199.1_1572	K13893
lcl|CP094940.1_prot_UOM48201.1_1574	K13694
lcl|CP094940.1_prot_UOM48202.1_1575	K19803
lcl|CP094940.1_prot_UOM48204.1_1577	K00040
lcl|CP094940.1_prot_UOM48205.1_1578	K01686
lcl|CP094940.1_prot_UOM48206.1_1579	K02356
lcl|CP094940.1_prot_UOM48207.1_1580	K06940
lcl|CP094940.1_prot_UOM49137.1_1581	K09968
lcl|CP094940.1_prot_UOM48208.1_1582	K03291
lcl|CP094940.1_prot_UOM48209.1_1583	K02768
lcl|CP094940.1_prot_UOM48209.1_1583	K11183
lcl|CP094940.1_prot_UOM48210.1_1584	K00882
lcl|CP094940.1_prot_UOM48210.1_1584	K16370
lcl|CP094940.1_prot_UOM48211.1_1585	K02768
lcl|CP094940.1_prot_UOM48211.1_1585	K02769
lcl|CP094940.1_prot_UOM48211.1_1585	K02770
lcl|CP094940.1_prot_UOM48212.1_1586	K01151
lcl|CP094940.1_prot_UOM48215.1_1589	K11733
lcl|CP094940.1_prot_UOM48215.1_1589	K16235
lcl|CP094940.1_prot_MUB43_08135_1590	K16089
lcl|CP094940.1_prot_MUB43_08135_1590	K19611
lcl|CP094940.1_prot_UOM48216.1_1591	K01070
lcl|CP094940.1_prot_UOM48217.1_1592	K01495
lcl|CP094940.1_prot_UOM48218.1_1593	K07148
lcl|CP094940.1_prot_UOM48219.1_1594	K02529
lcl|CP094940.1_prot_UOM48220.1_1595	K10439
lcl|CP094940.1_prot_UOM48220.1_1595	K10540
lcl|CP094940.1_prot_UOM48220.1_1595	K17205
lcl|CP094940.1_prot_UOM48220.1_1595	K17213
lcl|CP094940.1_prot_UOM48221.1_1596	K02056
lcl|CP094940.1_prot_UOM48221.1_1596	K10441
lcl|CP094940.1_prot_UOM48221.1_1596	K10542
lcl|CP094940.1_prot_UOM48221.1_1596	K10545
lcl|CP094940.1_prot_UOM48221.1_1596	K10562
lcl|CP094940.1_prot_UOM48221.1_1596	K17204
lcl|CP094940.1_prot_UOM48221.1_1596	K17215
lcl|CP094940.1_prot_UOM48222.1_1597	K10541
lcl|CP094940.1_prot_UOM48223.1_1598	K03748
lcl|CP094940.1_prot_UOM48224.1_1599	K01489
lcl|CP094940.1_prot_UOM48226.1_1601	K06518
lcl|CP094940.1_prot_UOM48227.1_1602	K05541
lcl|CP094940.1_prot_UOM48228.1_1603	K07267
lcl|CP094940.1_prot_UOM48229.1_1604	K03488
lcl|CP094940.1_prot_UOM48230.1_1606	K01223
lcl|CP094940.1_prot_UOM48230.1_1606	K05350
lcl|CP094940.1_prot_UOM48231.1_1608	K15550
lcl|CP094940.1_prot_UOM48234.1_1611	K07262
lcl|CP094940.1_prot_UOM48235.1_1612	K03823
lcl|CP094940.1_prot_UOM48236.1_1613	K03777
lcl|CP094940.1_prot_UOM48237.1_1614	K05349
lcl|CP094940.1_prot_UOM48238.1_1615	K05845
lcl|CP094940.1_prot_UOM48239.1_1616	K05846
lcl|CP094940.1_prot_UOM48240.1_1617	K05847
lcl|CP094940.1_prot_UOM48241.1_1618	K05846
lcl|CP094940.1_prot_UOM48243.1_1620	K02478
lcl|CP094940.1_prot_UOM48244.1_1621	K02477
lcl|CP094940.1_prot_UOM48244.1_1621	K07705
lcl|CP094940.1_prot_UOM49138.1_1623	K01874
lcl|CP094940.1_prot_UOM48246.1_1624	K03593
lcl|CP094940.1_prot_UOM48250.1_1628	K06901
lcl|CP094940.1_prot_UOM48251.1_1629	K01486
lcl|CP094940.1_prot_UOM48253.1_1631	K06149
lcl|CP094940.1_prot_UOM48254.1_1632	K00878
lcl|CP094940.1_prot_UOM48255.1_1633	K00941
lcl|CP094940.1_prot_UOM48256.1_1634	K11645
lcl|CP094940.1_prot_UOM48258.1_1636	K00875
lcl|CP094940.1_prot_UOM48259.1_1637	K00039
lcl|CP094940.1_prot_UOM48260.1_1638	K03435
lcl|CP094940.1_prot_UOM48261.1_1639	K11531
lcl|CP094940.1_prot_UOM48262.1_1640	K00007
lcl|CP094940.1_prot_UOM48262.1_1640	K00040
lcl|CP094940.1_prot_MUB43_08390_1641	K00854
lcl|CP094940.1_prot_UOM48266.1_1645	K02035
lcl|CP094940.1_prot_UOM48267.1_1646	K02033
lcl|CP094940.1_prot_UOM48268.1_1647	K02034
lcl|CP094940.1_prot_UOM48269.1_1648	K02031
lcl|CP094940.1_prot_UOM48270.1_1649	K02032
lcl|CP094940.1_prot_UOM48272.1_1651	K08303
lcl|CP094940.1_prot_UOM48273.1_1652	K07664
lcl|CP094940.1_prot_UOM48273.1_1652	K18144
lcl|CP094940.1_prot_UOM48274.1_1653	K07642
lcl|CP094940.1_prot_UOM48275.1_1654	K18326
lcl|CP094940.1_prot_UOM48276.1_1655	K07789
lcl|CP094940.1_prot_UOM48277.1_1656	K07788
lcl|CP094940.1_prot_UOM48278.1_1657	K07799
lcl|CP094940.1_prot_UOM48278.1_1657	K21135
lcl|CP094940.1_prot_UOM48280.1_1661	K07660
lcl|CP094940.1_prot_UOM48281.1_1663	K04046
lcl|CP094940.1_prot_UOM48282.1_1664	K01247
lcl|CP094940.1_prot_UOM48282.1_1664	K13529
lcl|CP094940.1_prot_UOM48283.1_1665	K00855
lcl|CP094940.1_prot_UOM48283.1_1665	K00876
lcl|CP094940.1_prot_UOM48284.1_1666	K01494
lcl|CP094940.1_prot_UOM48285.1_1667	K07289
lcl|CP094940.1_prot_MUB43_08530_1669	K00963
lcl|CP094940.1_prot_UOM48290.1_1674	K01104
lcl|CP094940.1_prot_UOM48290.1_1674	K20945
lcl|CP094940.1_prot_UOM48291.1_1675	K16692
lcl|CP094940.1_prot_UOM48296.1_1680	K03328
lcl|CP094940.1_prot_UOM48296.1_1680	K16695
lcl|CP094940.1_prot_UOM48299.1_1683	K03606
lcl|CP094940.1_prot_UOM48300.1_1684	K00033
lcl|CP094940.1_prot_UOM48301.1_1685	K00971
lcl|CP094940.1_prot_UOM48301.1_1685	K16011
lcl|CP094940.1_prot_UOM48302.1_1686	K01840
lcl|CP094940.1_prot_UOM48303.1_1687	K00012
lcl|CP094940.1_prot_UOM48305.1_1689	K08679
lcl|CP094940.1_prot_UOM48305.1_1689	K17947
lcl|CP094940.1_prot_UOM48306.1_1690	K09688
lcl|CP094940.1_prot_UOM48306.1_1690	K09690
lcl|CP094940.1_prot_UOM48306.1_1690	K09692
lcl|CP094940.1_prot_UOM48307.1_1691	K09691
lcl|CP094940.1_prot_UOM48308.1_1692	K12985
lcl|CP094940.1_prot_UOM48309.1_1693	K01854
lcl|CP094940.1_prot_UOM48310.1_1694	K07011
lcl|CP094940.1_prot_UOM48311.1_1695	K21011
lcl|CP094940.1_prot_UOM48312.1_1696	K19354
lcl|CP094940.1_prot_UOM48313.1_1697	K11755
lcl|CP094940.1_prot_UOM48314.1_1698	K01663
lcl|CP094940.1_prot_UOM48314.1_1698	K02500
lcl|CP094940.1_prot_UOM48315.1_1699	K01814
lcl|CP094940.1_prot_UOM48316.1_1700	K02501
lcl|CP094940.1_prot_UOM48317.1_1701	K01089
lcl|CP094940.1_prot_UOM48317.1_1701	K01693
lcl|CP094940.1_prot_UOM48318.1_1702	K00817
lcl|CP094940.1_prot_UOM48319.1_1703	K00013
lcl|CP094940.1_prot_UOM48320.1_1704	K00765
lcl|CP094940.1_prot_UOM48323.1_1708	K14052
lcl|CP094940.1_prot_UOM48325.1_1710	K02355
lcl|CP094940.1_prot_MUB43_08740_1711	K07497
lcl|CP094940.1_prot_UOM48326.1_1712	K01141
lcl|CP094940.1_prot_UOM48327.1_1713	K07258
lcl|CP094940.1_prot_UOM48328.1_1714	K07470
lcl|CP094940.1_prot_UOM48330.1_1716	K09802
lcl|CP094940.1_prot_UOM48331.1_1717	K02233
lcl|CP094940.1_prot_UOM48332.1_1718	K00768
lcl|CP094940.1_prot_UOM48333.1_1719	K01251
lcl|CP094940.1_prot_UOM48334.1_1720	K07168
lcl|CP094940.1_prot_UOM48338.1_1724	K08172
lcl|CP094940.1_prot_UOM48342.1_1730	K03566
lcl|CP094940.1_prot_UOM48344.1_1732	K00433
lcl|CP094940.1_prot_UOM48349.1_1739	K07724
lcl|CP094940.1_prot_UOM48350.1_1740	K18842
lcl|CP094940.1_prot_UOM48351.1_1741	K07171
lcl|CP094940.1_prot_UOM48351.1_1741	K18841
lcl|CP094940.1_prot_UOM48353.1_1743	K01241
lcl|CP094940.1_prot_UOM48354.1_1744	K19238
lcl|CP094940.1_prot_UOM49146.1_1747	K19745
lcl|CP094940.1_prot_MUB43_08935_1748	K16137
lcl|CP094940.1_prot_UOM48357.1_1749	K03316
lcl|CP094940.1_prot_UOM48358.1_1750	K19338
lcl|CP094940.1_prot_UOM48359.1_1751	K13634
lcl|CP094940.1_prot_UOM48359.1_1751	K13635
lcl|CP094940.1_prot_UOM48360.1_1752	K16291
lcl|CP094940.1_prot_UOM49147.1_1754	K18900
lcl|CP094940.1_prot_UOM49148.1_1756	K07459
lcl|CP094940.1_prot_UOM49149.1_1757	K03657
lcl|CP094940.1_prot_UOM48373.1_1768	K03196
lcl|CP094940.1_prot_UOM48374.1_1769	K03195
lcl|CP094940.1_prot_UOM48375.1_1770	K03204
lcl|CP094940.1_prot_UOM48376.1_1771	K03203
lcl|CP094940.1_prot_UOM48377.1_1772	K03201
lcl|CP094940.1_prot_UOM48379.1_1774	K03200
lcl|CP094940.1_prot_UOM48380.1_1775	K03199
lcl|CP094940.1_prot_UOM48381.1_1776	K03197
lcl|CP094940.1_prot_UOM48382.1_1777	K03194
lcl|CP094940.1_prot_UOM48387.1_1783	K07733
lcl|CP094940.1_prot_UOM48388.1_1785	K02014
lcl|CP094940.1_prot_UOM48388.1_1785	K15721
lcl|CP094940.1_prot_UOM48389.1_1786	K02363
lcl|CP094940.1_prot_UOM48389.1_1786	K04783
lcl|CP094940.1_prot_UOM48390.1_1787	K05374
lcl|CP094940.1_prot_UOM48391.1_1788	K04785
lcl|CP094940.1_prot_UOM48392.1_1789	K04784
lcl|CP094940.1_prot_UOM48392.1_1789	K04786
lcl|CP094940.1_prot_UOM48393.1_1790	K04784
lcl|CP094940.1_prot_UOM48393.1_1790	K04786
lcl|CP094940.1_prot_UOM48393.1_1790	K12239
lcl|CP094940.1_prot_UOM48394.1_1791	K05372
lcl|CP094940.1_prot_UOM48394.1_1791	K12243
lcl|CP094940.1_prot_UOM48395.1_1792	K06147
lcl|CP094940.1_prot_UOM48396.1_1793	K06147
lcl|CP094940.1_prot_UOM48397.1_1794	K05373
lcl|CP094940.1_prot_UOM48398.1_1795	K04781
lcl|CP094940.1_prot_UOM48400.1_1797	K09933
lcl|CP094940.1_prot_UOM48401.1_1798	K09475
lcl|CP094940.1_prot_UOM48401.1_1798	K09476
lcl|CP094940.1_prot_UOM48401.1_1798	K11929
lcl|CP094940.1_prot_UOM48401.1_1798	K14062
lcl|CP094940.1_prot_UOM48403.1_1800	K06950
lcl|CP094940.1_prot_UOM48404.1_1801	K00558
lcl|CP094940.1_prot_UOM49151.1_1802	K07458
lcl|CP094940.1_prot_UOM48406.1_1804	K09781
lcl|CP094940.1_prot_UOM48407.1_1805	K21085
lcl|CP094940.1_prot_UOM48409.1_1808	K07781
lcl|CP094940.1_prot_UOM48411.1_1810	K01176
lcl|CP094940.1_prot_UOM48412.1_1811	K02424
lcl|CP094940.1_prot_UOM48413.1_1812	K05396
lcl|CP094940.1_prot_UOM48414.1_1813	K02029
lcl|CP094940.1_prot_UOM48414.1_1813	K10009
lcl|CP094940.1_prot_UOM48415.1_1814	K02028
lcl|CP094940.1_prot_UOM48415.1_1814	K02029
lcl|CP094940.1_prot_UOM48415.1_1814	K10004
